,Country/Region,PopTotal
0,Afghanistan,38928.341
1,Albania,2877.8
2,Algeria,43851.043
3,Andorra,77.265
4,Antigua and Barbuda,97.928
5,Argentina,45195.777
6,Armenia,2963.234000000001
7,Australia,25499.881
8,Austria,9006.4
9,Azerbaijan,10139.175
10,"Bahamas, The",393.2480000000001
11,Bahrain,1701.583
12,Bangladesh,164689.383
13,Barbados,287.371
14,Belarus,9449.321
15,Belgium,11589.616000000002
16,Benin,12123.198
17,Bhutan,771.612
18,Bolivia,11673.029
19,Bosnia and Herzegovina,3280.815
20,Brazil,212559.409
21,Brunei,437.483
22,Bulgaria,6948.445
23,Burkina Faso,20903.278
24,Cambodia,16718.971
25,Cameroon,26545.864
26,Canada,37742.157
27,Central African Republic,4829.764
28,Chad,16425.859
29,Channel Islands,173.859
30,Chile,19116.209
31,Colombia,50882.88400000001
32,Congo (Brazzaville),5518.092
33,Congo (Kinshasa),89561.40400000002
34,Costa Rica,5094.114000000001
35,Cote d'Ivoire,26378.275
36,Croatia,4105.268
37,Cruise Ship,3.7110000000000003
38,Cuba,11326.616000000002
39,Cyprus,1207.361
40,Czech Republic,10708.982
41,Denmark,5792.203
42,Djibouti,988.002
43,Dominican Republic,10847.904
44,Ecuador,17643.06
45,Egypt,102334.403
46,El Salvador,6486.201
47,Equatorial Guinea,1402.985
48,Estonia,1326.539
49,Eswatini,1160.164
50,Ethiopia,114963.583
51,Faroe Islands,48.865
52,Fiji,896.444
53,Finland,5540.718000000002
54,France,65273.512
55,French Guiana,298.682
56,Gabon,2225.728
57,"Gambia, The",2416.664
58,Georgia,3989.175
59,Germany,83783.945
60,Ghana,31072.945
61,Gibraltar,33.691
62,Greece,10423.056
63,Guatemala,17915.567
64,Guinea,13132.792
65,Guyana,786.559
66,Honduras,9904.608
67,Hong Kong,7496.988
68,Hungary,9660.35
69,Iceland,341.25
70,India,1380004.385
71,Indonesia,273523.62100000004
72,Iran,83992.95300000001
73,Iraq,40222.503
74,Ireland,4937.7959999999985
75,Israel,8655.541
76,Italy,60461.828
77,Jamaica,2961.161
78,Japan,126476.458
79,Jordan,10203.14
80,Kazakhstan,18776.707
81,Kenya,53771.3
82,Kosovo,1831.463
83,Kuwait,4270.563
84,Kyrgyzstan,6524.191
85,Latvia,1886.202
86,Lebanon,6825.441999999999
87,Liberia,5057.677
88,Liechtenstein,38.137
89,Lithuania,2722.291
90,Luxembourg,625.976
91,Macau,649.342
92,Mainland China,1439323.774
93,Malaysia,32365.998
94,Maldives,540.5419999999998
95,Malta,441.539
96,Martinique,375.265
97,Mauritania,4649.66
98,Mauritius,1271.767
99,Mexico,128932.753
100,Moldova,4033.963
101,Monaco,39.244
102,Mongolia,3278.292
103,Montenegro,628.062
104,Morocco,36910.558
105,Namibia,2540.916
106,Nepal,29136.808
107,Netherlands,17134.873
108,New Zealand,4822.233
109,Nicaragua,6624.554
110,Nigeria,206139.587
111,North Ireland,1810.8629999999998
112,North Macedonia,2083.38
113,Norway,5421.241999999998
114,Oman,5106.622
115,Others,
116,Pakistan,220892.331
117,Palestine,5101.416
118,Panama,4314.768
119,Paraguay,7132.53
120,Peru,32971.846
121,Philippines,109581.085
122,Poland,37846.605
123,Portugal,10196.707
124,Qatar,2881.06
125,Reunion,
126,Romania,19237.682
127,Russia,145934.46
128,Rwanda,12952.209
129,Saint Barthelemy,9.885
130,Saint Lucia,183.629
131,Saint Vincent and the Grenadines,110.947
132,San Marino,33.938
133,Saudi Arabia,34813.867
134,Senegal,16743.93
135,Serbia,8737.37
136,Seychelles,98.34
137,Singapore,5850.343000000002
138,Slovakia,5459.643
139,Slovenia,2078.932
140,Somalia,15893.219
141,South Africa,59308.69
142,South Korea,51269.183
143,Spain,46754.783
144,Sri Lanka,21413.25
145,St. Martin,38.659
146,Sudan,43849.269
147,Suriname,586.634
148,Sweden,10099.27
149,Switzerland,8654.618
150,Taiwan,23816.775
151,Tanzania,59734.213
152,Thailand,69799.978
153,Togo,8278.737
154,Trinidad and Tobago,1399.491
155,Tunisia,11818.618
156,Turkey,84339.067
157,UK,67886.004
158,US,331002.647
159,Ukraine,43733.75900000001
160,United Arab Emirates,9890.4
161,Uruguay,3473.7270000000008
162,Uzbekistan,33469.199
163,Vatican City,0.809
164,Venezuela,28435.943
165,Vietnam,97338.583
166,Zambia,18383.956
167,Angola,32866.268
168,Cabo Verde,555.988
169,Haiti,11402.533000000001
170,Madagascar,27691.019
171,Niger,24206.636000000002
172,Papua New Guinea,8947.027
173,Zimbabwe,14862.927
